中文名,日文名,简介
法乌斯特纳,ファウストナ,一个国家的名称
林迪亚,リンディア,故事发生的主要国家或地区
林斯菲亚,リンスフィア,故事发生的主要城市
保西瓦尔的戒指,パウシバルの指輪,林迪亚的一个古老故事
白祈之间,白祈の間,城中的一个特殊房间
马里吉,マリギ,北部的一个地方
王都,王都,故事发生的主要城市
黑的间,黒の間,城中的特殊房间
圣女的间,聖女の間,和希所在的房间
玛法尔达斯特,マファルダスト,一个组织的名称
主战派,主戦派,一个政治或军事派别
法乌斯特纳战士团,ファウストナ戦士団,法乌斯特纳的军事组织
力的刻印,力の刻印,一种特殊能力标记
酒的圣女,酒の聖女,对和希的称呼
博塔尼湖,ボタニ湖,过去森林中的美丽湖泊
语言不觉的刻印,言語不覚の刻印,束缚和希的特殊标记
黑神,黒神,一个神明的称呼
黑神的聖女,黒神の聖女,和希获得的新身份
5阶位的刻印,5階位の刻印,一种强大的力量标记
魔兽,魔獣,被击败的生物
林迪亚城,リンディア城,故事发生的主要地点
力量刻印,力の刻印,一种特殊标记
5阶位刻印,5階位の刻印,一种强大的力量标记
语言不觉刻印,言語不覚の刻印,圣女身上的特殊标记
治愈院,治癒院,医疗场所
来宾室,来賓室,接待客人的房间
王的间,王の間,所谓玉座大厅
月亮酒,月の酒,和希喜欢的一种酒
满月之夜,満月の夜,和希想要逃出去喝酒的时间
禁酒令,禁酒令,可能对和希实施的惩罚措施
贯头衣,貫頭衣,一种古代服装
刻印,刻印,特殊的标记或能力
异世界,異世界,不同于现实世界的其他世界
救赎之路,救いの道,某种拯救或解脱的方式
祭品,贄,用于献祭的物品或生命
森,森,故事发生的地点
特尔奇布拉诺,テルチブラーノ,一个地名
燃烧之水,燃える水,一种特殊液体
瓦尔哈拉,ヴァルハラ,死后英灵前往的地方
南区,南街区,林斯菲亚城市的一个区域
十三夜月,十三夜月,一种月相
救赎之日,救済の日,和希实施救赎的日子
法乌斯特纳海王国,ファウストナ海王国,故事发生的主要国家
聖女の間,聖女の間,和希所在的房间
第二战士团,第二戦士団,军事组织
聖女と慈愛の刻印,聖女と慈愛の刻印,圣女身上的特殊标记
リンディア城,リンディア城,故事发生的主要地点
白神,白神,被赞颂的神明
黒神,黒神,一个神明的称呼
戦士団,戦士団,军事组织
玉座,玉座,王座所在地
尤尼斯村,ユニス村,北部边界的村庄
卡兹霍特王国,カズホート王国,一个已灭亡的小国
火之刻印,火の刻印,一种特殊能力
黑森林,黒の森,阿斯特击败魔兽的地方
清めの石台,清めの石台,用于洗浴的特殊石台
黒の間,黒の間,城中的一个特殊房间
来賓用の浴場,来賓用の浴場,客用浴场
力の刻印,力の刻印,一种特殊标记
癒しの力,癒しの力,和希拥有的治愈能力
魔獣,魔獣,被击败的生物
カズホート王国,カズホート王国,一个已灭亡的小国
慈愛,慈愛,和希的一种特质或能力
林迪亚王国,リンディア王国,故事发生的主要国家或地区
黑神的圣女,黒神の聖女,和希获得的新身份
银月,銀月,发饰的装饰
城墙,城壁,防御设施
外圈,外円部,城内的一个区域
圆阵,円陣,一种战术阵型
2阶位的刻印,2階位の刻印,较低级的力量标记
银円盤,銀円盤,一种祭器
中广形的鉾,中広形の鉾,一种祭器
神酒,神酒,用于祭祀的酒
言の葉の綴り,言の葉の綴り,古代传承的文字记录
林迪亚王家,リンディア王家,统治林迪亚的王族
マリギ,マリギ,一个地名
慈愛の刻印,慈愛の刻印,表示慈爱的特殊标记
治癒院,治癒院,医疗场所
ファウストナ,ファウストナ,一个国家的名称
聖女の刻印,聖女の刻印,和希身上的特殊标记
使徒,使徒,接近神明的特殊存在
殿下,殿下,对王子或贵族的称呼
外圈部西街区,外円部西街区,城市的一个区域
圣女的刻印,聖女の刻印,和希身上的特殊标记
亚托的锁链,ヤトの鎖,与圣女身份相关的特殊物品
水白粉,水白粉,一种化妆品
库库叶,ククの葉,一种植物，可能有药用价值
空色的家,空色の家,无认可的儿童养护设施
时岛孤儿院,時島孤児院,无认可的儿童养护设施
院长室,院長室,孤儿院中院长办公的房间
孤儿院,孤児院,收容孤儿的机构
订书机的魔法,ホッチキスの魔法,和希用来隐藏伤痕的比喻
ガストーチ,ガストーチ,一种便携式喷火器
治愈之力,癒しの力,和希拥有的特殊能力
圣女,聖女,这个世界唯一的圣女
慈爱,慈愛,圣女掌管的一种力量
自我牺牲,自己犠牲,一种特殊标记
祭品之宴,贄の宴,一种特殊仪式或概念
语言不觉,言語不覚,一种特殊标记
利他行为,利他行動,一种行为方式
自我欺骗,自己欺瞞,一种特殊标记
憎恨之链,憎しみの鎖,一种特殊标记
加护,加護,神明赐予的保护或能力
活祭品,生け贄,被献祭的活物
圣女通り,聖女通り,一条充满伤员和血迹的道路
圣女大道,聖女通り,一条道路的别称
圣女刻印,聖女の刻印,一种特殊标记
命护り,命護り,战士出征时携带的护身符
恩托,エントー,死与睡眠之神
内圈,内円部,城内的一个区域
3阶位,3階位,一种力量标记的等级
4阶位,4階位,比3阶位更高的力量标记
5阶位,5階位,最高级的力量标记
癒しの刻印,癒しの刻印,治愈刻印
神代文字,神代文字,古代文字系统
圣女之间,聖女の間,和希所在的房间
銀月,銀月,罗莎莉送给和希的发饰
封印,封印,束缚和希成为圣女的力量
黑神亚托的刻印,黒神ヤトの刻印,和希脖子上的标记
圆阵队形,円陣,一种战术阵型
王之间,王の間,所谓玉座大厅
圣战,聖戦,尤尼德所称的战斗
白色世界,白い世界,和希理解某些事情的地方
训练场,訓練場,骑士们进行训练的场所
1阶位,1階位,一种力量标记
圣女封印,聖女封印,束缚和希的力量
2阶位,2階位,一种力量标记的等级
灵芝,霊芝,一种植物
黑之间,黒の間,城中的特殊房间
林迪亚之花,リンディアの花,阿斯蒂亚的称号
城壁,城壁,防御设施
王城,王城,统治者居住的城堡
円陣,円陣,一种战术阵型
大麦面包,大麦パン,一种面包
黑髪,黒髪,圣女和希献出的东西
聖女の座す街,聖女の座す街,吉内特·埃特佩里的代表作
黎明の時代　聖女カズキの軌跡,黎明の時代　聖女カズキの軌跡,一本关于圣女和希的书籍
城,城,故事发生的主要地点
馬車,馬車,用于运输的交通工具
屋根,屋根,建筑物的顶部
翡翠色,翡翠色,形容眼睛颜色的词
林迪亚家,リンディア家,统治林斯菲亚的王族
聖女通り,聖女通り,发生事故后被非正式命名的街道
军务长室,軍務長室,尤尼德工作的房间
贫民窟,スラム,城市中贫困人口聚集的地区
水晶马,クリスタルの馬,房间里的装饰品
救济之日,救済の日,和希实施救赎的日子
慈爱的刻印,慈愛の刻印,表示慈爱的特殊标记
黑神亚托,黒神ヤト,一个神明的称呼
西街区,西街区,城市的一个区域
圣女救济,聖女救済,一种事件或行动
活祭品的宴会,贄の宴,一种仪式或概念
南方的森林,南の森,一个地点
外圈部大门,外円部大門,城市的一个区域
黑神的刻印,黒神の刻印,一种诅咒或标记
森人,森人,一个种族或群体
圣女的加护,聖女の加護,圣女提供的保护能力
火墙,炎の壁,一种防御措施
野营地,野営地,临时露宿的地方
篷车,幌馬車,有篷布遮盖的马车
马车,馬車,用于运输的交通工具
毛毯,毛布,用于保暖的织物
背负袋,背負袋,用于携带物品的袋子
マント,マント,一种外套或斗篷
薪,薪,用于生火的木柴
白祈的酒,白祈の酒,一种特殊的透明酒
日本酒,ニホンシュ,一种谷物酿造的酒
马法尔达斯特,マファルダスト,一个组织的名称
半石,ハーフロック,一种酒的饮用方式，在杯中放入大冰块并倒入等量的酒和水
神明的使徒,神々の使徒,接近神明的特殊存在
内圈部,内円部,城内的一个区域
外圈部,外円部,城内的一个区域
西的森,西の森,人迹罕至的区域
鸟笼,鳥籠,比喻主角被软禁的地方
下女,下女,一种地位较低的女仆
洗面室,洗面室,房间内的洗漱区域
葡萄,葡萄,故事中提到的一种水果
一液,一液,燃烧之水的一种组成部分
二液,二液,燃烧之水的另一种组成部分
圣女的力量,聖女の力,和希拥有的特殊能力
南部地域,南部地域,受到损害的区域
群青のワンピース,群青のワンピース,神秘少女穿的衣服
居酒屋,,一种日式酒馆
本店,,公司或连锁店的总店
治愈,癒し,一种特殊能力
库库叶的泉,ククの葉の泉,森林中的一个地点
利他行动,利他行動,一种行为方式
墓地,墓,安息的地方
救赎,救済,治愈世界的行为
亲吻,キス,表达喜爱的行为
刻印的解读与考察,刻印の解読と考察,文件的标题
治愈之光,癒しの光,能消灭魔兽并救助伤员的神秘力量
战士团,戦士団,军事组织
骑士团,騎士団,军事组织
林迪亚骑士团,リンディア騎士団,林迪亚的军事组织
单横阵形,単横陣形,一种战术阵型
王都林斯菲亚,王都リンスフィア,林迪亚的首都
星空连衣裙,星空のワンピース,和希穿的衣服
城门,城門,城市的入口
外圈部街区,外円部の街区,城市的一个区域
治愈师,治癒師,能够治疗伤病的人
慈爱之心,慈愛の心,和希拥有的特质
祭品盛宴,贄の宴,一种特殊仪式或概念
黑神恩托,黒神エントー,一个神明的名称
内门,内円部,城内的一个区域
外门,外円部,城内的一个区域
军务室,軍務室,军事会议的房间
卡兹霍特,カズホート,一个已灭亡的小国
黑发,黒髪,和希的发色特征
治愈刻印,癒しの刻印,和希右胸的特殊标记
慈爱刻印,慈愛の刻印,和希身上的特殊标记
前线,前線,战斗发生的地方
黑神亚托的加护,黒神ヤトの加護,迪奥格尼斯头部的特殊刻印
憎恨的锁链,憎しみの鎖,黑神亚托加护的具体形式
大门,大門,城市的入口
南,南,城市的一个方向
北,北,城市的一个方向
西,西,城市的一个方向
南限的町森,南限の町セン,南部边界的小镇
埃尔·林迪亚,エル=リンディア,林迪亚王子的称号
白祈之酒,白祈の酒,一种特殊的酒
林迪亚的花园,リンディアの庭園,故事发生的主要地点
踏脚石,飛び石,用于穿越水面的石头路径
小岛,小島,花园中的一个地方
篝火,篝火,在花园周围点燃的火堆
银色的月,銀色の月,夜空中的月亮
林斯菲亚防卫战,リンスフィア防衛戦,与魔兽的重要战役
黎明时代 圣女和希的轨迹,黎明の時代　聖女カズキの軌跡,一本描述圣女和希经历的书
城下町,城下町,城市周边的居民区
典药医,典薬医,负责制作和使用药物的医生
南部的森,南部の森,大规模战斗发生的地点
南限的街,南限の街,森林附近的小镇
植木剪,植木鋏,用于剪断盔甲的工具
センや,センや,森林附近的南限小镇
リンスフィア,リンスフィア,故事发生的主要城市
霊芝,霊芝,一种药用植物
典薬医,典薬医,负责制作药物的医生
治療医,治療医,负责治疗的医生
消毒用的药草液,消毒用の薬草液,用于消毒的药物
御者台,御者台,马车上驾驶员的座位
梯子酒,梯子酒,一种连续饮酒的方式
圣女捜索隊,聖女捜索隊,寻找和希的搜索队
